Task name: KDDProject
Task description: -

Date of output: 1.5.2020

Survey of antecedent attributes

	Group	Name	Description
	Default Partial Cedent	Country (subset), 1 - 1	-
	Default Partial Cedent	Rank_ (subset), 1 - 1	-
	Default Partial Cedent	Year_ (subset), 1 - 1	-

Survey of variable antecedent attributes

	Group	Name	Description
	Default Partial Cedent	x__A1__Exports_and_imports_ (subset), 1 - 1	-
	Default Partial Cedent	x__C1__Security_Apparatus_ (subset), 1 - 1	-
	Default Partial Cedent	x__E1__Economy_ (subset), 1 - 1	-
	Default Partial Cedent	x__P1__State_Legitimacy_ (subset), 1 - 1	-
	Default Partial Cedent	x__R1__Life_expectancy_at_birth_ (subset), 1 - 1	-
	Default Partial Cedent	x__S1__Demographic_Pressures_ (subset), 1 - 1	-
	Default Partial Cedent	x__U1__Unemployment_total_ (subset), 1 - 1	-

Survey of succedent attributes

	Group	Name	Description

Survey of variable sukcedent attributes

	Group	Name	Description
	Default Partial Cedent	Total( Alert -> Stable)	-

Survey of Action4ft-Quantifiers
	a-frequency	Before >= 2.00 Absolute number
	a-frequency	After >= 2.00 Absolute number

Task parameters
	The comparison of the first set versus the second set
	Sets must differ in all rows (i.e. not overlapping sets)

Nr.	Hypothesis	D%-Sum	Df-Conf	Df-AFUI	Df-FUE	Df-Avg	R-Conf	R-DFUI	R-FUE	R-Avg	H-Conf	H-DFUI	H-FUE	H-Avg	B:a	B:b	B:c	B:d	B:r	B:n	B:Conf	B:DConf	B:EConf	B:Supp	B:Cmplt	B:AvgDf	B:Lift	B:LBound	B:UBound	B:ELBound	B:EUBound	B:DLBound	B:DUBound	B:Fisher	B:Chi-Sq	B:PSep	B:bMean	B:bVAR	B:bStDev	B:P(>=90%)	B:P(>=95%)	A:a	A:b	A:c	A:d	A:r	A:n	A:Conf	A:DConf	A:EConf	A:Supp	A:Cmplt	A:AvgDf	A:Lift	A:LBound	A:UBound	A:ELBound	A:EUBound	A:DLBound	A:DUBound	A:Fisher	A:Chi-Sq	A:PSep	A:bMean	A:bVAR	A:bStDev	A:P(>=90%)	A:P(>=95%)	
194	(x__S1__Demographic_Pressures_(9.3)  ->  x__S1__Demographic_Pressures_(5.6)) >÷< (Total(Alert)  ->  Total(Stable))	0.1	0.5	-0.0126126126	-0.0395480226	1.6230694981	2	0.8108108108	0.9530201342	1.7511726603	2	1.2333333333	1.0492957746	1.7511726603	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	2	26	147	4	177	0.5	0.0666666667	0.8418079096	0.011299435	0.0714285714	2.1607142857	3.1607142857	0.9963	0.0523	0.9944600024	0.010127928	1	0	0.1183183678	3.5904890295	13	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
112	(x__S1__Demographic_Pressures_(9.4)  ->  x__S1__Demographic_Pressures_(5.6)) >÷< (Total(Alert)  ->  Total(Stable))	0.11	0.5	0.0144144144	-0.0338983051	1.6230694981	2	1.2162162162	0.9597315436	1.7511726603	2	1.2162162162	1.041958042	1.7511726603	3	0	34	140	3	177	1	0.0810810811	0.8079096045	0.0169491525	0.0810810811	3.7837837838	4.7837837838	0.729	1	0.9999300855	0.0001580167	1	0	0.0085516179	11.5470643057	10.3333333333	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	2	2	26	147	4	177	0.5	0.0666666667	0.8418079096	0.011299435	0.0714285714	2.1607142857	3.1607142857	0.9963	0.0523	0.9944600024	0.010127928	1	0	0.1183183678	3.5904890295	13	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
187	(x__S1__Demographic_Pressures_(9.6)  ->  x__S1__Demographic_Pressures_(5.6)) >÷< (Total(Alert)  ->  Total(Stable))	0.1	0.5	-0.0126126126	-0.0395480226	1.6230694981	2	0.8108108108	0.9530201342	1.7511726603	2	1.2333333333	1.0492957746	1.7511726603	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	2	26	147	4	177	0.5	0.0666666667	0.8418079096	0.011299435	0.0714285714	2.1607142857	3.1607142857	0.9963	0.0523	0.9944600024	0.010127928	1	0	0.1183183678	3.5904890295	13	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
181	(x__U1__Unemployment_total_(4.2)  ->  x__U1__Unemployment_total_(3.7)) >÷< (Total(Alert)  ->  Total(Stable))	0.1	0.5	-0.0126126126	-0.0395480226	1.6230694981	2	0.8108108108	0.9530201342	1.7511726603	2	1.2333333333	1.0492957746	1.7511726603	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	2	26	147	4	177	0.5	0.0666666667	0.8418079096	0.011299435	0.0714285714	2.1607142857	3.1607142857	0.9963	0.0523	0.9944600024	0.010127928	1	0	0.1183183678	3.5904890295	13	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
439	Year_(2010) :  (x__S1__Demographic_Pressures_(9.3)  ->  x__S1__Demographic_Pressures_(5.6)) >÷< (Total(Alert)  ->  Total(Stable))	0.1	0.5	-0.0126126126	-0.0395480226	1.6230694981	2	0.8108108108	0.9530201342	1.7511726603	2	1.2333333333	1.0492957746	1.7511726603	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	2	26	147	4	177	0.5	0.0666666667	0.8418079096	0.011299435	0.0714285714	2.1607142857	3.1607142857	0.9963	0.0523	0.9944600024	0.010127928	1	0	0.1183183678	3.5904890295	13	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
357	Year_(2010) :  (x__S1__Demographic_Pressures_(9.4)  ->  x__S1__Demographic_Pressures_(5.6)) >÷< (Total(Alert)  ->  Total(Stable))	0.11	0.5	0.0144144144	-0.0338983051	1.6230694981	2	1.2162162162	0.9597315436	1.7511726603	2	1.2162162162	1.041958042	1.7511726603	3	0	34	140	3	177	1	0.0810810811	0.8079096045	0.0169491525	0.0810810811	3.7837837838	4.7837837838	0.729	1	0.9999300855	0.0001580167	1	0	0.0085516179	11.5470643057	10.3333333333	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	2	2	26	147	4	177	0.5	0.0666666667	0.8418079096	0.011299435	0.0714285714	2.1607142857	3.1607142857	0.9963	0.0523	0.9944600024	0.010127928	1	0	0.1183183678	3.5904890295	13	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
432	Year_(2010) :  (x__S1__Demographic_Pressures_(9.6)  ->  x__S1__Demographic_Pressures_(5.6)) >÷< (Total(Alert)  ->  Total(Stable))	0.1	0.5	-0.0126126126	-0.0395480226	1.6230694981	2	0.8108108108	0.9530201342	1.7511726603	2	1.2333333333	1.0492957746	1.7511726603	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	2	26	147	4	177	0.5	0.0666666667	0.8418079096	0.011299435	0.0714285714	2.1607142857	3.1607142857	0.9963	0.0523	0.9944600024	0.010127928	1	0	0.1183183678	3.5904890295	13	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
426	Year_(2010) :  (x__U1__Unemployment_total_(4.2)  ->  x__U1__Unemployment_total_(3.7)) >÷< (Total(Alert)  ->  Total(Stable))	0.1	0.5	-0.0126126126	-0.0395480226	1.6230694981	2	0.8108108108	0.9530201342	1.7511726603	2	1.2333333333	1.0492957746	1.7511726603	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	2	26	147	4	177	0.5	0.0666666667	0.8418079096	0.011299435	0.0714285714	2.1607142857	3.1607142857	0.9963	0.0523	0.9944600024	0.010127928	1	0	0.1183183678	3.5904890295	13	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
159	(x__E1__Economy_(8.3)  ->  x__E1__Economy_(5)) >÷< (Total(Alert)  ->  Total(Stable))	0.12	0.4285714286	-0.047951177	-0.0395480226	1.1715388858	1.75	0.6283783784	0.9533333333	1.4484797297	1.75	1.5913978495	1.048951049	1.4484797297	3	0	34	140	3	177	1	0.0810810811	0.8079096045	0.0169491525	0.0810810811	3.7837837838	4.7837837838	0.729	1	0.9999300855	0.0001580167	1	0	0.0085516179	11.5470643057	10.3333333333	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	4	3	24	146	7	177	0.5714285714	0.1290322581	0.8474576271	0.0225988701	0.1428571429	2.612244898	3.612244898	0.997272	0.0256915	0.989872072	0.017835651	1	0	0.0127425259	9.3459171588	5.75	0.5555555556	0.5555555556	0.1571348403	0.0050243539	0.0003717517	
223	(x__E1__Economy_(8.4)  ->  x__E1__Economy_(5)) >÷< (Total(Alert)  ->  Total(Stable))	0.12	0.4285714286	-0.074978204	-0.0451977401	1.1715388858	1.75	0.4189189189	0.9466666667	1.4484797297	1.75	2.3870967742	1.0563380282	1.4484797297	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	4	3	24	146	7	177	0.5714285714	0.1290322581	0.8474576271	0.0225988701	0.1428571429	2.612244898	3.612244898	0.997272	0.0256915	0.989872072	0.017835651	1	0	0.0127425259	9.3459171588	5.75	0.5555555556	0.5555555556	0.1571348403	0.0050243539	0.0003717517	
