Task name: KDDProject
Task description: -

Date of output: 1.5.2020

Survey of antecedent attributes

	Group	Name	Description
	Default Partial Cedent	Country (subset), 1 - 1	-
	Default Partial Cedent	Rank_ (subset), 1 - 1	-
	Default Partial Cedent	Year_ (subset), 1 - 1	-

Survey of variable antecedent attributes

	Group	Name	Description
	Default Partial Cedent	x__A1__Exports_and_imports_ (subset), 1 - 1	-
	Default Partial Cedent	x__C1__Security_Apparatus_ (subset), 1 - 1	-
	Default Partial Cedent	x__E1__Economy_ (subset), 1 - 1	-
	Default Partial Cedent	x__P1__State_Legitimacy_ (subset), 1 - 1	-
	Default Partial Cedent	x__R1__Life_expectancy_at_birth_ (subset), 1 - 1	-
	Default Partial Cedent	x__S1__Demographic_Pressures_ (subset), 1 - 1	-
	Default Partial Cedent	x__U1__Unemployment_total_ (subset), 1 - 1	-

Survey of succedent attributes

	Group	Name	Description

Survey of variable sukcedent attributes

	Group	Name	Description
	Default Partial Cedent	Total( Alert -> Sustainable)	-

Survey of Action4ft-Quantifiers
	a-frequency	Before >= 2.00 Absolute number
	a-frequency	After >= 2.00 Absolute number

Task parameters
	The comparison of the first set versus the second set
	Sets must differ in all rows (i.e. not overlapping sets)

Nr.	Hypothesis	D%-Sum	Df-Conf	Df-AFUI	Df-FUE	Df-Avg	R-Conf	R-DFUI	R-FUE	R-Avg	H-Conf	H-DFUI	H-FUE	H-Avg	B:a	B:b	B:c	B:d	B:r	B:n	B:Conf	B:DConf	B:EConf	B:Supp	B:Cmplt	B:AvgDf	B:Lift	B:LBound	B:UBound	B:ELBound	B:EUBound	B:DLBound	B:DUBound	B:Fisher	B:Chi-Sq	B:PSep	B:bMean	B:bVAR	B:bStDev	B:P(>=90%)	B:P(>=95%)	A:a	A:b	A:c	A:d	A:r	A:n	A:Conf	A:DConf	A:EConf	A:Supp	A:Cmplt	A:AvgDf	A:Lift	A:LBound	A:UBound	A:ELBound	A:EUBound	A:DLBound	A:DUBound	A:Fisher	A:Chi-Sq	A:PSep	A:bMean	A:bVAR	A:bStDev	A:P(>=90%)	A:P(>=95%)	
230	(x__A1__Exports_and_imports_(75.6)  ->  x__A1__Exports_and_imports_(89.315823)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.2	0.8421052632	-0.0173745174	0.0225988701	3.7088849984	6.3333333333	0.7567567568	1.0289855072	50.5186267348	6.3333333333	1.3214285714	1.0289855072	50.5186267348	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	3	16	23	135	19	177	0.1578947368	0.0714285714	0.7796610169	0.0169491525	0.1153846154	0.0748987854	1.0748987854	1	0	0.9999992737	0.0000019295	1	0	0.5530104245	0.0205596507	12	0.1904761905	0.1904761905	0.0837189593	0	0	
461	Year_(2010) :  (x__A1__Exports_and_imports_(75.6)  ->  x__A1__Exports_and_imports_(89.315823)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.2	0.8421052632	-0.0173745174	0.0225988701	3.7088849984	6.3333333333	0.7567567568	1.0289855072	50.5186267348	6.3333333333	1.3214285714	1.0289855072	50.5186267348	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	3	16	23	135	19	177	0.1578947368	0.0714285714	0.7796610169	0.0169491525	0.1153846154	0.0748987854	1.0748987854	1	0	0.9999992737	0.0000019295	1	0	0.5530104245	0.0205596507	12	0.1904761905	0.1904761905	0.0837189593	0	0	
118	(x__R1__Life_expectancy_at_birth_(73.1)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.13	0.7777777778	0.0204750205	-0.0169491525	3.270963271	4.5	1.3378378378	0.9794520548	7.3783783784	4.5	1.3378378378	1.020979021	7.3783783784	3	0	34	140	3	177	1	0.0810810811	0.8079096045	0.0169491525	0.0810810811	3.7837837838	4.7837837838	0.729	1	0.9999300855	0.0001580167	1	0	0.0085516179	11.5470643057	10.3333333333	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
180	(x__R1__Life_expectancy_at_birth_(78.8)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.12	0.7777777778	-0.0065520066	-0.0225988701	3.270963271	4.5	0.8918918919	0.9726027397	7.3783783784	4.5	1.1212121212	1.0281690141	7.3783783784	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
169	(x__U1__Unemployment_total_(4.2)  ->  x__U1__Unemployment_total_(?)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.18	0.7777777778	-0.0459459459	0.0056497175	3.270963271	4.5	0.5405405405	1.0070921986	7.3783783784	4.5	1.85	1.0070921986	7.3783783784	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	4	14	22	137	18	177	0.2222222222	0.1	0.7966101695	0.0225988701	0.1538461538	0.5128205128	1.5128205128	1	0	0.99998761	0.0000299189	1	0	0.2600376702	0.9073520507	8	0.25	0.25	0.0944911183	0	0	
349	Year_(2010) :  (x__R1__Life_expectancy_at_birth_(73.1)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.13	0.7777777778	0.0204750205	-0.0169491525	3.270963271	4.5	1.3378378378	0.9794520548	7.3783783784	4.5	1.3378378378	1.020979021	7.3783783784	3	0	34	140	3	177	1	0.0810810811	0.8079096045	0.0169491525	0.0810810811	3.7837837838	4.7837837838	0.729	1	0.9999300855	0.0001580167	1	0	0.0085516179	11.5470643057	10.3333333333	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
411	Year_(2010) :  (x__R1__Life_expectancy_at_birth_(78.8)  ->  x__R1__Life_expectancy_at_birth_(69.933333)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.12	0.7777777778	-0.0065520066	-0.0225988701	3.270963271	4.5	0.8918918919	0.9726027397	7.3783783784	4.5	1.1212121212	1.0281690141	7.3783783784	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	7	24	144	9	177	0.2222222222	0.0606060606	0.8248587571	0.011299435	0.0769230769	0.5128205128	1.5128205128	0.999999918	0.000002998	0.9992712938	0.0014851447	1	0	0.391474604	0.4293719526	14.5	0.2727272727	0.2727272727	0.1285648693	0.0000003736	0.0000000016	
400	Year_(2010) :  (x__U1__Unemployment_total_(4.2)  ->  x__U1__Unemployment_total_(?)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.18	0.7777777778	-0.0459459459	0.0056497175	3.270963271	4.5	0.5405405405	1.0070921986	7.3783783784	4.5	1.85	1.0070921986	7.3783783784	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	4	14	22	137	18	177	0.2222222222	0.1	0.7966101695	0.0225988701	0.1538461538	0.5128205128	1.5128205128	1	0	0.99998761	0.0000299189	1	0	0.2600376702	0.9073520507	8	0.25	0.25	0.0944911183	0	0	
175	(x__S1__Demographic_Pressures_(9.3)  ->  x__S1__Demographic_Pressures_(3.7)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.13	0.6	-0.0149114632	-0.0451977401	2.0607068607	2.5	0.7837837838	0.9466666667	2.1959459459	2.5	1.275862069	1.0563380282	2.1959459459	2	0	35	140	2	177	1	0.0540540541	0.802259887	0.011299435	0.0540540541	3.7837837838	4.7837837838	0.81	1	0.9999700811	0.0000699145	1	0	0.0427580894	7.6540540541	16.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	3	24	148	5	177	0.4	0.0689655172	0.8474576271	0.011299435	0.0769230769	1.7230769231	2.7230769231	0.99954	0.00856	0.989872072	0.017835651	1	0	0.1569047841	2.6303924937	12.5	0.4285714286	0.4285714286	0.1749635531	0.0012700011	0.0000864063	
91	(x__S1__Demographic_Pressures_(9.4)  ->  x__S1__Demographic_Pressures_(3.7)) >÷< (Total(Alert)  ->  Total(Sustainable))	0.14	0.6	0.0121155638	-0.0395480226	2.0607068607	2.5	1.1756756757	0.9533333333	2.1959459459	2.5	1.1756756757	1.048951049	2.1959459459	3	0	34	140	3	177	1	0.0810810811	0.8079096045	0.0169491525	0.0810810811	3.7837837838	4.7837837838	0.729	1	0.9999300855	0.0001580167	1	0	0.0085516179	11.5470643057	10.3333333333	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	2	3	24	148	5	177	0.4	0.0689655172	0.8474576271	0.011299435	0.0769230769	1.7230769231	2.7230769231	0.99954	0.00856	0.989872072	0.017835651	1	0	0.1569047841	2.6303924937	12.5	0.4285714286	0.4285714286	0.1749635531	0.0012700011	0.0000864063	
