Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,L1: Literacy rate adult,A1: Exports and imports,A2: Foreign direct investment net inflows,R1: Life expectancy at birth,R2: Life expectancy Index,U1: Unemployment total
Afghanistan,2010,6th,109.3,9.7,9.4,9.7,8.3,8.2,7.2,10,8.9,9.2,9.5,9.2,10,,81.3,1.2,61,0.631,2.3
Albania,2010,121st,67.1,5.4,6,4.9,6.1,5.7,7.1,6.8,5.6,5.3,5.9,2.8,5.5,,76.5,9.1,76.6,0.87,14.1
Algeria,2010,71st,81.3,7.5,6.8,8.2,5.1,7.1,6.1,7.5,6.5,7.6,6.7,6.5,5.7,,69.9,1.4,74.9,0.845,10
Angola,2010,59th,83.7,5.9,6.8,5.9,5,9.1,5.6,8.1,8,7.3,8.4,6.9,6.7,99,104.4,8.4,55.4,0.544,7.7
Antigua and Barbuda,2010,127th,60.9,4.6,4,4.5,5.5,6.1,7.3,5.3,4.6,4.7,4.7,3.4,6.2,,35,2.7,75.8,0.859,19
Argentina,2010,148th,45.8,2.4,3.2,4.5,5.1,5.8,3.8,3.6,3.7,3.8,4.6,2.2,3.1,94.6,40.6,3.1,73.3,0.82,4.8
Armenia,2010,101st,74.1,5.1,7,6,5.8,6.5,7,6.6,5.3,6.4,5.7,6.9,5.8,,99,-5.6,81.9,0.953,5.6
Australia,2010,168th,27.3,1.4,1.5,3.4,3.2,4.2,1.2,1.5,1.8,2,3.5,2.5,1.1,,75,6.3,80.6,0.933,14.5
Austria,2010,170th,27.2,1.1,1.9,3.8,2.7,4.7,1.2,1.4,1.4,1.6,2.7,2.3,2.4,,78.7,8.6,70.9,0.784,1.1
Azerbaijan,2010,55th,84.4,7.3,7.9,7.9,5.9,7.3,5.7,8,5.5,7.2,6.2,8.1,7.4,,120.5,0.6,72.1,0.802,3.4
Bahamas,2010,132nd,58.9,4.8,4.8,4.7,5,6.4,5.8,5.5,4.4,2.8,6.2,3.2,5.3,,37.8,1.1,76.1,0.862,10.7
Bahrain,2010,133rd,58.8,4.7,6.1,6.5,4,6,3.5,6.7,3.1,5.4,4.5,2.6,5.7,,86.9,14.8,69.9,0.767,6.1
Bangladesh,2010,24th,96.1,8.1,8.9,8.9,7.9,8.8,8.4,8,8.3,7.4,8.4,6.7,6.3,,113.1,2.4,78.4,0.898,8.3
Barbados,2010,135th,55.4,4.5,4.5,4.9,5.4,6.7,6.5,4.1,3.1,2.8,4,3.2,5.7,90.4,151.1,23.1,70.8,0.782,11.7
